                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7155,                 3.9872,                 1.5929,                0.00398,                0.88393,                0.06469,                0.03872,                 1.1045,                 3.7131,                 1.0813,               0.070625,              0.0032639,              0.0032639
                      1,                 1.5302,                 2.5879,                 1.4009,                0.77837,                0.20536,                0.37132,                0.26522,                 1.2754,                 2.9205,                 1.2419,                0.04056,              0.0065319,              0.0065319
                      2,                 1.5304,                 2.1649,                 1.3923,                0.35829,                0.40179,                0.32372,                 0.1881,                 1.3604,                 2.2872,                 1.2227,               0.010428,              0.0097339,              0.0097339
                      3,                  1.592,                 2.2323,                 1.4024,                0.64422,                0.37188,                0.42824,                0.24497,                 1.3957,                 2.6406,                 1.2774,               0.009703,               0.009703,               0.009703
                      4,                 1.6537,                 2.0609,                 1.4152,                0.41463,                0.28571,                0.24305,                0.12868,                 1.7792,                  2.607,                 1.4596,               0.009703,               0.009703,               0.009703
                      5,                 1.6645,                 1.9874,                 1.4132,                0.63283,                0.45536,                0.48965,                0.25368,                  1.591,                 2.2878,                 1.3657,               0.009604,               0.009604,               0.009604
                      6,                 1.6753,                 1.8983,                 1.4384,                0.69012,                 0.5625,                 0.6017,                0.34391,                  1.473,                 1.9874,                 1.2514,               0.009505,               0.009505,               0.009505
                      7,                 1.6173,                 1.7976,                 1.3885,                0.71033,                0.60714,                0.67992,                0.39603,                 1.3379,                 1.6774,                 1.2114,               0.009406,               0.009406,               0.009406
                      8,                 1.5438,                 1.7179,                 1.3396,                0.82877,                0.61607,                0.76022,                0.42495,                 1.3618,                 1.4552,                 1.2543,               0.009307,               0.009307,               0.009307
                      9,                  1.498,                 1.5922,                   1.33,                0.77481,                0.61607,                0.71008,                0.43514,                 1.3098,                 1.5556,                 1.1839,               0.009208,               0.009208,               0.009208
                     10,                 1.5053,                 1.5525,                 1.3157,                0.77396,                0.58087,                0.66818,                0.42122,                   1.36,                 1.5879,                 1.2649,               0.009109,               0.009109,               0.009109
                     11,                  1.441,                 1.4858,                 1.2945,                 0.9154,                0.57966,                0.78044,                0.48034,                 1.3322,                  1.334,                 1.1937,                0.00901,                0.00901,                0.00901
                     12,                 1.4329,                  1.427,                 1.2757,                0.80312,                0.83929,                0.84811,                0.55995,                 1.2017,                 1.3118,                 1.1515,               0.008911,               0.008911,               0.008911
                     13,                 1.3734,                   1.37,                 1.2423,                0.70556,                0.72321,                0.71706,                0.46943,                 1.1689,                 1.3805,                 1.0934,               0.008812,               0.008812,               0.008812
                     14,                 1.3866,                 1.3761,                 1.2543,                0.87031,                0.77894,                0.86425,                0.56977,                 1.1622,                 1.0596,                 1.0862,               0.008713,               0.008713,               0.008713
                     15,                 1.3832,                 1.3407,                 1.2598,                0.88562,                0.69133,                0.81448,                0.54117,                 1.1991,                 1.2818,                 1.0939,               0.008614,               0.008614,               0.008614
                     16,                 1.4059,                 1.3919,                 1.2732,                0.83745,                  0.782,                0.83898,                0.55863,                 1.1557,                 1.1066,                 1.1227,               0.008515,               0.008515,               0.008515
                     17,                 1.3499,                 1.2896,                 1.2504,                0.82947,                0.78172,                0.87872,                0.60131,                 1.0855,                0.98573,                 1.0328,               0.008416,               0.008416,               0.008416
                     18,                 1.2944,                 1.2017,                  1.203,                0.82141,                0.82134,                0.85771,                0.54759,                 1.2444,                 1.1364,                 1.1954,               0.008317,               0.008317,               0.008317
                     19,                 1.3076,                 1.2026,                 1.1991,                0.88894,                0.70536,                0.84399,                0.53688,                 1.1637,                 1.0623,                 1.0767,               0.008218,               0.008218,               0.008218
                     20,                  1.302,                 1.2035,                 1.2113,                0.86787,                0.70377,                0.82805,                 0.5889,                 1.1128,                 1.0298,                 1.0664,               0.008119,               0.008119,               0.008119
                     21,                 1.3068,                 1.2185,                 1.2139,                0.84106,                0.69643,                0.79091,                 0.5323,                 1.1533,                 1.1797,                 1.0952,                0.00802,                0.00802,                0.00802
                     22,                 1.2513,                 1.1575,                 1.2074,                0.88163,                0.86449,                 0.9128,                0.64652,                0.95214,                0.90456,                 0.9841,               0.007921,               0.007921,               0.007921
                     23,                 1.2324,                 1.1186,                 1.1755,                 0.8774,                 0.8125,                0.90164,                0.63084,                0.95646,                0.93123,                0.97356,               0.007822,               0.007822,               0.007822
                     24,                 1.2107,                 1.0991,                 1.1675,                0.90648,                0.86547,                0.92989,                0.67963,                0.89492,                 0.7602,                0.95214,               0.007723,               0.007723,               0.007723
                     25,                 1.1792,                 1.0401,                 1.1359,                 0.9245,                  0.875,                0.93337,                 0.6483,                0.98535,                0.80794,                0.99098,               0.007624,               0.007624,               0.007624
                     26,                  1.193,                 1.0413,                 1.1494,                0.92343,                0.86147,                0.92076,                0.67497,                0.93238,                0.77253,                0.95862,               0.007525,               0.007525,               0.007525
                     27,                 1.2161,                 1.0243,                 1.1583,                0.92702,                0.90736,                0.95102,                0.70888,                0.89052,                0.73773,                 0.9429,               0.007426,               0.007426,               0.007426
                     28,                 1.1781,                0.99604,                 1.1553,                0.92585,                0.85714,                0.92177,                0.69284,                0.93246,                0.77616,                0.97865,               0.007327,               0.007327,               0.007327
                     29,                   1.14,                 0.9671,                 1.1345,                0.94534,                0.92654,                0.95553,                0.71372,                0.84021,                0.67263,                0.93343,               0.007228,               0.007228,               0.007228
                     30,                 1.1545,                 1.0066,                 1.1245,                0.95611,                0.88393,                0.96281,                0.69388,                0.92595,                0.70027,                0.95242,               0.007129,               0.007129,               0.007129
                     31,                 1.1048,                0.93245,                  1.097,                0.92492,                0.91071,                0.95202,                0.72938,                0.83489,                0.66669,                0.92364,                0.00703,                0.00703,                0.00703
                     32,                 1.1487,                0.96638,                 1.1282,                0.94593,                0.93728,                0.96216,                0.70146,                0.89145,                0.69114,                0.96694,               0.006931,               0.006931,               0.006931
                     33,                 1.0956,                0.91753,                 1.1025,                0.97219,                0.86607,                0.95928,                0.72086,                0.88107,                0.70505,                 0.9715,               0.006832,               0.006832,               0.006832
                     34,                 1.0936,                0.90647,                 1.0964,                0.95259,                0.91071,                0.96145,                0.71699,                0.85342,                0.64329,                0.94182,               0.006733,               0.006733,               0.006733
                     35,                 1.0862,                0.89425,                 1.1024,                0.95281,                0.90141,                0.95719,                0.69272,                 1.0063,                0.67543,                 1.0498,               0.006634,               0.006634,               0.006634
                     36,                 1.0745,                0.88363,                 1.0997,                0.96384,                0.92857,                0.96428,                0.72479,                0.85555,                 0.6437,                0.94293,               0.006535,               0.006535,               0.006535
